id,name,english.grade,math.grade,sciences.grade,language.grade,nationality,city,gender,ethnic.group
115,Student_115,33.71,54.03,29.67,95.06,British,Mumbai,Female,Group C
116,Student_116,0.87,7.19,37.92,63.36,American,Sydney,Male,Group E
117,Student_117,4.39,52.59,91.08,95.94,Indian,Mumbai,Female,Group A
118,Student_118,85.34,80.9,5.0,79.49,British,Sydney,Other,Group D
119,Student_119,36.97,40.56,69.69,47.06,British,Sydney,Female,Group B
120,Student_120,65.91,88.64,88.06,13.02,Canadian,New York,Female,Group D
121,Student_121,34.19,66.86,1.08,73.97,Australian,New York,Male,Group A
122,Student_122,81.62,83.97,63.1,17.19,American,Sydney,Other,Group E
123,Student_123,40.42,27.91,89.24,99.71,Indian,Mumbai,Other,Group A
124,Student_124,12.66,20.07,35.31,92.34,Indian,Mumbai,Other,Group B
125,Student_125,65.54,34.07,22.39,79.53,American,New York,Other,Group D
126,Student_126,54.15,3.47,28.95,6.48,American,Toronto,Other,Group E
127,Student_127,43.1,29.84,89.46,31.01,American,Mumbai,Male,Group B
128,Student_128,80.79,70.89,4.63,47.46,Canadian,Toronto,Other,Group B
129,Student_129,79.5,38.27,59.19,79.13,British,London,Other,Group D
130,Student_130,67.25,74.4,59.72,17.26,Indian,Mumbai,Female,Group B
131,Student_131,14.78,46.25,25.24,95.61,Canadian,Sydney,Other,Group E
132,Student_132,97.45,70.31,26.91,82.87,American,New York,Other,Group B
133,Student_133,73.23,14.89,65.03,57.48,Australian,Sydney,Female,Group D
134,Student_134,15.34,88.81,2.83,56.6,Canadian,Sydney,Other,Group E
135,Student_135,26.56,31.78,40.29,99.02,Australian,Mumbai,Male,Group D
136,Student_136,2.53,46.88,72.39,41.55,Canadian,Sydney,Male,Group D
137,Student_137,57.47,44.11,92.16,45.42,American,New York,Other,Group E
138,Student_138,68.18,24.62,89.82,57.82,American,Sydney,Male,Group A
139,Student_139,46.48,38.16,76.85,56.07,Australian,Sydney,Male,Group C
140,Student_140,22.97,57.47,24.6,83.43,American,Toronto,Female,Group C
141,Student_141,20.78,63.25,31.02,52.62,British,Mumbai,Other,Group D
142,Student_142,59.8,9.56,62.37,30.49,Australian,Toronto,Female,Group B
143,Student_143,95.26,69.45,5.43,37.3,Australian,London,Other,Group D
144,Student_144,76.47,4.01,75.77,18.62,Canadian,London,Other,Group B
145,Student_145,70.98,54.84,77.28,55.51,American,New York,Male,Group A
146,Student_146,99.96,87.99,9.5,66.69,Indian,New York,Male,Group C
147,Student_147,97.03,63.93,98.19,77.63,Indian,Mumbai,Female,Group A
148,Student_148,79.36,84.14,34.99,20.84,Canadian,London,Female,Group E
149,Student_149,18.12,70.06,9.66,92.52,Australian,Toronto,Female,Group B
150,Student_150,5.32,13.96,5.56,29.8,Canadian,New York,Other,Group E
151,Student_151,83.59,34.06,85.8,38.78,British,Mumbai,Female,Group C
152,Student_152,30.91,4.43,43.86,33.83,Indian,Mumbai,Female,Group C
153,Student_153,44.26,40.65,33.36,23.51,Canadian,Toronto,Female,Group D
154,Student_154,59.88,43.58,13.18,5.92,American,Toronto,Female,Group A
155,Student_155,10.41,84.0,26.26,31.16,Canadian,New York,Male,Group B
156,Student_156,43.74,12.2,58.38,16.38,Indian,New York,Other,Group B
157,Student_157,42.97,22.13,8.14,95.24,American,Mumbai,Other,Group B
158,Student_158,31.72,86.0,43.29,65.53,Indian,Toronto,Other,Group A
159,Student_159,12.65,73.86,79.1,65.99,Canadian,New York,Other,Group B
160,Student_160,82.94,77.78,3.72,0.4,Australian,Sydney,Other,Group D
161,Student_161,54.49,8.47,34.69,83.39,British,New York,Male,Group A
162,Student_162,74.54,86.99,75.63,61.04,Canadian,Sydney,Male,Group E
163,Student_163,39.31,16.09,72.73,26.53,Australian,Sydney,Female,Group C
164,Student_164,3.23,31.62,82.51,7.76,American,Sydney,Male,Group D
165,Student_165,76.91,39.88,9.06,17.01,Indian,Sydney,Male,Group E
166,Student_166,33.5,11.79,39.07,19.82,British,Toronto,Female,Group A
167,Student_167,69.71,72.51,94.46,43.73,Indian,London,Female,Group B
168,Student_168,72.42,86.25,44.04,62.92,Canadian,London,Other,Group C
169,Student_169,37.88,80.44,13.93,88.77,Canadian,Toronto,Other,Group E
170,Student_170,0.28,85.41,77.75,72.87,Canadian,New York,Male,Group E
171,Student_171,78.19,35.91,18.09,4.01,Canadian,Sydney,Female,Group A
172,Student_172,92.32,70.02,46.27,24.38,Canadian,Toronto,Male,Group C
173,Student_173,99.12,55.04,89.47,9.04,Indian,London,Female,Group D
174,Student_174,87.7,76.06,15.55,20.73,Canadian,London,Male,Group C
175,Student_175,4.05,55.83,22.47,23.07,British,London,Male,Group D
176,Student_176,70.46,4.72,36.46,93.39,Indian,New York,Female,Group D
177,Student_177,12.72,99.49,10.92,97.85,American,Toronto,Male,Group C
178,Student_178,46.57,29.33,23.58,45.75,British,London,Male,Group E
179,Student_179,12.26,20.75,9.4,86.15,Canadian,Sydney,Female,Group A
180,Student_180,19.67,98.29,6.22,30.35,American,Mumbai,Other,Group C
181,Student_181,72.43,62.18,76.19,68.68,Canadian,New York,Female,Group E
182,Student_182,34.62,51.32,99.87,8.41,Australian,Mumbai,Other,Group B
183,Student_183,24.6,84.99,93.43,22.95,Australian,Toronto,Male,Group D
184,Student_184,78.44,82.64,75.9,10.23,Canadian,Toronto,Other,Group B
185,Student_185,68.06,6.07,61.72,63.85,British,New York,Male,Group B
186,Student_186,70.23,84.89,42.31,72.05,Indian,Sydney,Male,Group B
187,Student_187,39.03,60.26,18.83,33.35,Indian,London,Male,Group C
188,Student_188,72.18,81.79,5.53,76.7,Australian,Mumbai,Female,Group E
189,Student_189,56.27,75.14,91.91,14.13,Canadian,New York,Other,Group B
190,Student_190,94.06,2.87,23.55,36.05,British,Mumbai,Other,Group B
191,Student_191,82.81,27.95,20.87,35.99,Canadian,New York,Female,Group A
192,Student_192,47.03,57.67,48.93,10.86,Australian,Sydney,Female,Group E
193,Student_193,5.76,10.98,60.47,63.24,British,Sydney,Female,Group A
194,Student_194,59.33,88.43,64.28,0.4,Canadian,New York,Male,Group D
195,Student_195,31.86,69.03,93.94,12.15,Australian,Toronto,Male,Group B
196,Student_196,78.83,90.71,77.06,36.7,Indian,New York,Male,Group E
197,Student_197,29.22,59.99,0.25,91.16,Australian,London,Female,Group B
198,Student_198,12.74,47.33,15.24,96.67,British,Mumbai,Female,Group A
199,Student_199,20.4,72.73,73.66,36.25,British,New York,Female,Group A
200,Student_200,22.38,7.6,86.78,12.98,British,London,Female,Group B
201,Student_201,23.87,97.11,0.0,56.49,Australian,London,Other,Group C
202,Student_202,75.37,89.5,40.96,53.25,Australian,Sydney,Male,Group B
203,Student_203,84.39,45.66,21.76,0.05,Australian,Mumbai,Other,Group B
204,Student_204,43.7,79.32,53.52,5.03,American,New York,Male,Group B
205,Student_205,31.26,86.79,22.1,66.75,British,Mumbai,Other,Group B
206,Student_206,45.06,5.58,54.07,13.63,Indian,London,Other,Group E
207,Student_207,44.99,34.97,58.02,78.23,British,Toronto,Male,Group A
208,Student_208,70.05,99.66,10.22,58.88,American,Sydney,Other,Group C
209,Student_209,26.64,14.59,48.15,16.04,American,Toronto,Male,Group C
210,Student_210,75.93,61.48,21.23,29.29,Canadian,Mumbai,Male,Group B
211,Student_211,50.78,80.0,97.56,7.79,Australian,Toronto,Male,Group D
212,Student_212,21.24,15.47,30.01,48.45,British,Sydney,Male,Group E
213,Student_213,65.68,94.24,73.0,7.62,Indian,Toronto,Male,Group C
214,Student_214,46.11,0.56,63.53,24.84,American,Toronto,Other,Group B
215,Student_215,3.67,74.89,16.54,87.77,American,Sydney,Other,Group E
216,Student_216,1.77,82.3,92.95,93.36,American,Toronto,Male,Group A
217,Student_217,74.17,62.25,6.28,97.28,Indian,Toronto,Other,Group C
218,Student_218,11.97,28.59,34.82,83.85,Indian,Mumbai,Female,Group A
219,Student_219,28.45,43.54,65.29,3.71,British,Toronto,Female,Group B
220,Student_220,21.1,6.6,21.95,96.17,British,Sydney,Female,Group E
221,Student_221,27.0,53.76,64.53,2.21,Australian,Mumbai,Female,Group A
222,Student_222,85.65,70.13,10.59,26.96,British,Mumbai,Male,Group D
223,Student_223,45.43,57.2,86.53,60.62,Australian,Mumbai,Female,Group D
224,Student_224,87.81,66.03,53.69,26.6,American,London,Other,Group E
225,Student_225,14.84,33.23,98.76,60.5,Canadian,Mumbai,Female,Group A
226,Student_226,19.52,33.55,59.81,75.07,Australian,Mumbai,Other,Group D
227,Student_227,45.24,8.72,63.19,25.01,American,New York,Other,Group C
228,Student_228,42.24,34.83,33.46,6.82,Canadian,Sydney,Female,Group E
229,Student_229,0.78,80.9,85.01,8.31,Canadian,Toronto,Male,Group B
230,Student_230,59.37,8.26,87.73,91.33,Indian,New York,Female,Group A
231,Student_231,0.9,9.01,96.98,95.43,American,Mumbai,Male,Group A
232,Student_232,40.64,29.2,32.16,20.53,British,Mumbai,Other,Group A
233,Student_233,57.72,87.32,70.38,25.11,Australian,Toronto,Female,Group E
234,Student_234,5.41,76.58,98.84,11.54,Indian,New York,Other,Group B
235,Student_235,21.19,50.28,29.07,64.5,Australian,Sydney,Female,Group C
236,Student_236,84.34,45.86,50.11,84.22,Indian,London,Male,Group B
237,Student_237,19.51,22.78,13.52,62.57,Indian,Sydney,Female,Group B
238,Student_238,5.27,45.59,90.61,39.73,Australian,London,Other,Group C
239,Student_239,54.59,80.26,54.42,54.8,Australian,Sydney,Female,Group D
240,Student_240,47.09,47.32,57.96,3.82,British,New York,Male,Group E
241,Student_241,45.2,69.31,28.32,97.94,Canadian,Toronto,Female,Group A
242,Student_242,40.88,41.26,42.49,84.55,Indian,Mumbai,Female,Group D
243,Student_243,2.0,31.43,28.54,34.39,American,Mumbai,Male,Group E
244,Student_244,79.56,34.6,8.56,18.71,British,Toronto,Female,Group D
245,Student_245,73.02,54.55,95.12,38.76,Indian,New York,Other,Group D
246,Student_246,93.38,89.78,84.69,28.83,Australian,Toronto,Male,Group E
247,Student_247,47.77,24.27,32.47,50.44,American,Mumbai,Other,Group D
248,Student_248,58.09,42.4,39.88,55.98,British,New York,Male,Group E
249,Student_249,30.69,11.21,22.53,46.71,Australian,Sydney,Other,Group A
250,Student_250,17.11,42.29,96.27,77.29,American,New York,Other,Group D
251,Student_251,43.99,90.8,51.41,9.02,American,New York,Other,Group B
252,Student_252,52.95,76.08,17.76,11.99,Australian,Toronto,Other,Group A
253,Student_253,64.13,33.19,45.99,63.2,Canadian,Mumbai,Female,Group C
254,Student_254,75.73,12.96,28.67,58.2,American,Toronto,Male,Group C
255,Student_255,81.53,99.68,37.85,0.62,American,New York,Male,Group C
256,Student_256,15.33,25.07,47.8,67.78,Canadian,Sydney,Female,Group D
257,Student_257,60.17,71.99,47.3,44.92,American,New York,Female,Group D
258,Student_258,71.81,14.26,72.14,56.3,British,Toronto,Other,Group C
259,Student_259,8.14,81.9,0.48,19.54,British,Sydney,Female,Group B
260,Student_260,55.83,13.04,99.76,11.11,Australian,New York,Female,Group E
261,Student_261,4.73,92.91,68.89,57.99,British,Toronto,Other,Group D
262,Student_262,26.7,1.5,56.95,37.57,British,London,Male,Group E
263,Student_263,76.51,34.25,76.1,66.62,Indian,Toronto,Male,Group C
264,Student_264,5.24,55.84,42.19,24.22,Indian,Toronto,Female,Group E
265,Student_265,68.98,71.24,41.73,86.03,Indian,Sydney,Female,Group A
266,Student_266,80.91,68.72,32.25,29.96,American,Toronto,Other,Group D
267,Student_267,21.87,93.94,27.45,3.08,Australian,Toronto,Other,Group D
268,Student_268,11.37,2.9,35.47,49.59,British,Toronto,Other,Group A
269,Student_269,8.11,73.1,88.0,40.42,Australian,Toronto,Other,Group C
270,Student_270,39.48,60.21,97.37,37.95,American,Toronto,Male,Group D
271,Student_271,54.45,43.01,63.1,65.44,Australian,London,Other,Group C
272,Student_272,42.82,18.49,85.04,64.57,British,Sydney,Female,Group C
273,Student_273,37.01,66.43,41.95,3.98,Australian,London,Female,Group D
274,Student_274,70.95,40.41,17.03,62.86,Canadian,Toronto,Other,Group D
275,Student_275,37.2,44.63,80.97,61.19,Canadian,London,Male,Group B
276,Student_276,61.16,6.23,26.75,90.13,Australian,London,Other,Group E
277,Student_277,95.67,13.23,49.91,38.28,Australian,Sydney,Male,Group C
278,Student_278,41.13,36.11,5.58,0.02,Canadian,London,Other,Group D
279,Student_279,49.67,97.15,57.65,64.66,Canadian,Sydney,Female,Group E
280,Student_280,0.82,9.73,74.08,68.89,American,Toronto,Other,Group A
281,Student_281,81.2,41.31,64.92,96.37,British,Sydney,Other,Group E
282,Student_282,44.17,20.61,48.22,43.05,British,London,Female,Group B
283,Student_283,89.29,32.6,46.22,90.73,British,Toronto,Male,Group B
284,Student_284,71.76,96.81,76.28,85.76,American,Toronto,Male,Group C
285,Student_285,44.66,59.95,16.1,73.66,American,New York,Female,Group B
286,Student_286,80.8,99.35,0.05,22.19,Australian,London,Male,Group D
287,Student_287,40.19,16.1,84.14,82.78,Indian,London,Other,Group A
288,Student_288,48.85,74.13,15.41,55.8,Australian,Toronto,Other,Group A
289,Student_289,63.89,10.02,54.3,80.96,Australian,London,Other,Group D
290,Student_290,3.04,44.15,67.65,95.77,Australian,New York,Other,Group A
291,Student_291,32.84,15.18,44.1,82.96,Australian,New York,Male,Group B
292,Student_292,83.48,73.69,52.96,78.34,Indian,Toronto,Male,Group E
293,Student_293,68.76,13.56,21.65,15.25,Indian,New York,Male,Group C
294,Student_294,89.93,66.03,64.04,52.41,British,Toronto,Male,Group D
295,Student_295,58.11,40.97,59.86,6.53,Australian,Mumbai,Male,Group E
296,Student_296,95.38,74.54,79.26,76.0,British,New York,Other,Group A
297,Student_297,66.01,85.62,29.42,43.77,Australian,New York,Male,Group D
298,Student_298,46.98,53.9,40.83,16.35,Indian,New York,Other,Group E
299,Student_299,86.87,44.75,5.49,55.84,Canadian,Mumbai,Female,Group E
300,Student_300,14.77,27.44,2.03,8.64,Australian,New York,Other,Group B
301,Student_301,34.03,6.0,70.7,21.32,British,Toronto,Other,Group B
302,Student_302,67.07,41.23,40.84,0.46,Indian,Mumbai,Male,Group A
303,Student_303,64.83,55.98,40.67,75.36,Canadian,London,Female,Group D
304,Student_304,28.62,55.52,45.75,83.39,British,Toronto,Other,Group D
305,Student_305,29.35,1.24,1.78,97.77,Indian,Sydney,Male,Group A
306,Student_306,58.34,22.88,26.27,35.14,Australian,Toronto,Male,Group B
307,Student_307,3.51,52.12,97.49,53.94,British,New York,Other,Group A
308,Student_308,83.97,99.55,33.8,92.15,American,London,Female,Group D
309,Student_309,31.36,31.46,2.59,62.55,British,Mumbai,Male,Group B
310,Student_310,70.66,78.41,27.15,39.55,American,New York,Other,Group B
311,Student_311,32.71,13.86,36.38,26.8,Australian,New York,Other,Group D
312,Student_312,34.36,34.51,72.7,87.44,Australian,New York,Other,Group B
313,Student_313,10.86,38.44,19.09,8.42,Indian,London,Other,Group A
314,Student_314,75.2,57.21,70.84,88.89,British,London,Male,Group A
315,Student_315,58.86,81.06,5.04,48.42,American,Sydney,Male,Group E
316,Student_316,88.81,44.48,64.93,7.0,Canadian,London,Other,Group B
317,Student_317,90.24,25.35,30.29,69.15,Canadian,London,Other,Group C
318,Student_318,33.05,52.76,14.98,24.05,Canadian,Mumbai,Female,Group B
319,Student_319,49.37,38.29,91.44,89.83,American,Sydney,Female,Group B
320,Student_320,10.48,45.58,32.94,65.22,American,Toronto,Other,Group B
321,Student_321,37.88,28.73,6.98,13.48,Australian,London,Male,Group D
322,Student_322,56.74,73.27,64.83,58.37,Indian,London,Male,Group B
323,Student_323,16.18,24.55,98.85,9.69,British,New York,Other,Group B
324,Student_324,34.95,99.35,51.94,48.58,Indian,Mumbai,Other,Group D
325,Student_325,35.24,38.87,60.05,95.4,British,New York,Female,Group A
326,Student_326,96.72,32.34,34.36,98.79,Canadian,Toronto,Male,Group B
327,Student_327,82.34,31.77,80.74,91.92,American,Toronto,Other,Group A
328,Student_328,36.26,32.74,28.04,81.11,American,London,Female,Group D
329,Student_329,81.38,56.17,16.57,63.24,British,Sydney,Other,Group E
330,Student_330,93.6,45.74,36.32,0.73,Canadian,Sydney,Female,Group D
331,Student_331,48.3,0.56,19.5,95.78,Australian,Toronto,Female,Group C
332,Student_332,79.06,34.58,73.58,30.76,American,Toronto,Female,Group E
333,Student_333,66.63,60.95,50.53,94.91,British,Sydney,Other,Group E
334,Student_334,78.41,45.13,90.44,34.68,American,New York,Female,Group E
335,Student_335,81.71,77.01,36.8,21.73,Indian,Mumbai,Other,Group E
336,Student_336,49.32,95.88,20.88,21.29,Australian,Toronto,Female,Group E
337,Student_337,27.65,18.7,46.75,75.37,American,Toronto,Male,Group B
338,Student_338,86.76,86.38,25.87,10.56,British,Sydney,Other,Group B
339,Student_339,64.91,50.79,31.7,11.01,Australian,New York,Female,Group B
340,Student_340,90.31,33.54,99.94,5.85,Canadian,New York,Other,Group B
341,Student_341,24.14,86.21,90.06,96.0,Australian,Mumbai,Female,Group C
342,Student_342,68.21,45.59,0.68,6.74,British,Toronto,Other,Group A
343,Student_343,99.9,16.54,39.82,93.6,Indian,Toronto,Other,Group D
344,Student_344,77.15,0.16,42.94,90.75,Canadian,New York,Other,Group B
345,Student_345,49.33,26.08,0.34,72.26,American,New York,Other,Group A
346,Student_346,8.54,55.88,65.43,39.92,British,Toronto,Other,Group A
347,Student_347,16.93,25.91,43.25,99.35,British,Toronto,Other,Group A
348,Student_348,84.2,95.97,4.53,41.63,Indian,Mumbai,Male,Group D
349,Student_349,97.5,88.34,26.91,2.83,Canadian,Toronto,Male,Group E
350,Student_350,75.48,28.65,40.46,99.0,Indian,London,Other,Group E
351,Student_351,38.46,89.95,7.59,8.19,British,Mumbai,Female,Group D
352,Student_352,63.5,39.46,56.45,27.06,Australian,New York,Female,Group B
353,Student_353,1.96,38.19,20.85,47.46,Australian,Mumbai,Other,Group A
354,Student_354,1.32,6.21,3.82,31.94,Australian,Mumbai,Female,Group D
355,Student_355,10.77,84.06,76.67,72.78,American,Sydney,Other,Group B
356,Student_356,26.93,63.11,12.62,87.49,American,New York,Other,Group D
357,Student_357,8.5,9.86,82.77,98.05,British,New York,Other,Group C
358,Student_358,97.12,88.99,51.42,72.51,Indian,New York,Female,Group A
359,Student_359,35.56,30.96,3.05,88.05,Australian,Sydney,Female,Group C
360,Student_360,52.86,26.55,99.03,68.45,American,Mumbai,Male,Group A
361,Student_361,0.58,88.76,68.86,83.01,American,Sydney,Male,Group A
362,Student_362,15.89,2.6,8.66,27.29,British,London,Other,Group E
363,Student_363,76.57,21.6,4.47,53.85,Australian,New York,Male,Group C
364,Student_364,79.37,59.2,86.26,73.65,British,Mumbai,Other,Group C
365,Student_365,65.39,52.47,46.65,47.73,Indian,Mumbai,Female,Group D
366,Student_366,88.33,1.87,50.26,23.99,Australian,Mumbai,Male,Group E
367,Student_367,83.62,6.71,62.61,95.19,American,Sydney,Other,Group C
368,Student_368,84.64,78.74,23.51,64.29,Australian,London,Other,Group D
369,Student_369,50.91,13.29,30.36,71.44,American,Mumbai,Male,Group B
