id,name,nationality,city,gender,ethnic.group,english.grade,math.grade,sciences.grade,language.grade
122,Student_122,UK,New York,Female,Group_C,61,95,72,72
123,Student_123,Germany,Mumbai,Female,Group_B,64,83,75,81
124,Student_124,China,New York,Male,Group_A,80,62,60,64
125,Student_125,USA,New York,Male,Group_B,63,88,77,62
126,Student_126,UK,New York,Female,Group_A,60,91,51,51
127,Student_127,Germany,Berlin,Female,Group_B,75,94,57,68
128,Student_128,UK,New York,Female,Group_C,91,97,78,73
129,Student_129,Germany,Berlin,Female,Group_A,76,63,60,94
130,Student_130,Germany,London,Male,Group_C,60,60,86,73
131,Student_131,China,Mumbai,Male,Group_C,87,91,67,60
132,Student_132,Germany,Mumbai,Male,Group_B,83,87,99,71
133,Student_133,UK,Mumbai,Male,Group_A,92,53,63,64
134,Student_134,Germany,Mumbai,Male,Group_C,68,82,59,59
135,Student_135,China,Mumbai,Female,Group_B,55,56,84,90
136,Student_136,China,Mumbai,Male,Group_A,95,90,58,76
137,Student_137,UK,Mumbai,Female,Group_A,87,57,84,58
138,Student_138,India,London,Male,Group_C,98,86,60,77
139,Student_139,India,New York,Male,Group_A,91,59,93,50
140,Student_140,Germany,Beijing,Male,Group_C,77,92,61,66
141,Student_141,USA,Berlin,Male,Group_A,50,64,52,80
142,Student_142,Germany,Beijing,Male,Group_B,84,87,88,93
143,Student_143,UK,Beijing,Female,Group_C,89,64,63,59
144,Student_144,UK,New York,Female,Group_C,57,54,77,86
145,Student_145,UK,New York,Female,Group_A,96,78,60,78
146,Student_146,UK,New York,Male,Group_A,56,68,88,67
147,Student_147,UK,Mumbai,Male,Group_C,60,59,74,96
148,Student_148,China,London,Female,Group_A,88,61,70,87
149,Student_149,India,Mumbai,Male,Group_B,53,53,59,88
150,Student_150,UK,London,Male,Group_A,74,80,92,98
151,Student_151,USA,London,Female,Group_B,61,67,64,55
152,Student_152,USA,Beijing,Male,Group_B,75,65,68,89
153,Student_153,USA,Beijing,Female,Group_B,87,89,97,61
154,Student_154,USA,London,Male,Group_B,95,85,71,63
155,Student_155,China,London,Female,Group_B,61,74,70,93
156,Student_156,USA,Mumbai,Male,Group_A,92,72,93,59
157,Student_157,UK,Mumbai,Male,Group_B,86,61,81,69
158,Student_158,Germany,Beijing,Female,Group_A,95,83,99,64
159,Student_159,USA,New York,Male,Group_B,73,85,72,80
160,Student_160,China,London,Male,Group_C,65,86,62,56
161,Student_161,China,Mumbai,Female,Group_B,62,52,54,90
162,Student_162,USA,Beijing,Male,Group_C,74,58,53,59
163,Student_163,Germany,Mumbai,Female,Group_B,53,67,77,59
164,Student_164,USA,London,Male,Group_B,60,92,63,97
165,Student_165,China,London,Male,Group_B,81,84,57,88
166,Student_166,India,Berlin,Male,Group_C,98,83,58,77
167,Student_167,UK,New York,Male,Group_C,56,90,84,79
168,Student_168,China,Berlin,Female,Group_B,95,63,86,86
169,Student_169,USA,Beijing,Male,Group_A,60,53,70,52
170,Student_170,UK,Mumbai,Female,Group_B,77,78,67,99
171,Student_171,USA,Beijing,Male,Group_C,90,90,82,92
172,Student_172,USA,London,Male,Group_B,72,94,57,64
173,Student_173,India,Berlin,Male,Group_C,94,99,98,70
174,Student_174,UK,Berlin,Male,Group_C,72,64,66,86
175,Student_175,UK,Berlin,Female,Group_C,99,77,92,61
176,Student_176,India,Beijing,Female,Group_B,77,91,80,53
177,Student_177,China,London,Female,Group_C,92,65,83,96
178,Student_178,USA,Mumbai,Female,Group_C,96,61,55,58
179,Student_179,Germany,Mumbai,Male,Group_B,75,54,71,88
180,Student_180,USA,Beijing,Female,Group_C,74,83,63,91
181,Student_181,USA,Berlin,Female,Group_B,78,91,52,77
182,Student_182,China,New York,Male,Group_C,68,50,61,72
183,Student_183,USA,Beijing,Male,Group_A,82,88,85,94
184,Student_184,India,Beijing,Male,Group_A,85,81,61,89
185,Student_185,India,London,Male,Group_C,63,75,94,93
186,Student_186,UK,Mumbai,Female,Group_A,63,66,51,71
187,Student_187,Germany,Beijing,Female,Group_B,84,97,51,73
188,Student_188,USA,Beijing,Male,Group_A,79,76,64,75
189,Student_189,USA,Berlin,Male,Group_C,77,73,72,79
190,Student_190,China,Berlin,Male,Group_C,66,84,78,82
191,Student_191,India,New York,Female,Group_B,52,95,66,65
192,Student_192,Germany,London,Female,Group_C,65,91,81,71
193,Student_193,UK,New York,Male,Group_B,95,88,56,98
194,Student_194,India,Berlin,Male,Group_A,79,75,79,99
195,Student_195,UK,Mumbai,Female,Group_A,78,98,77,92
196,Student_196,China,Berlin,Male,Group_B,94,87,63,67
197,Student_197,China,London,Male,Group_B,64,72,93,56
198,Student_198,USA,Berlin,Female,Group_C,95,71,79,99
199,Student_199,Germany,London,Male,Group_A,74,53,66,75
200,Student_200,UK,London,Female,Group_B,87,98,81,57
201,Student_201,India,London,Male,Group_A,91,58,95,55
202,Student_202,China,London,Male,Group_B,96,53,55,79
203,Student_203,USA,London,Female,Group_A,87,56,73,88
204,Student_204,USA,Mumbai,Female,Group_C,72,72,55,72
205,Student_205,UK,New York,Male,Group_A,74,51,76,81
206,Student_206,China,Beijing,Female,Group_A,91,98,67,71
207,Student_207,Germany,New York,Male,Group_A,56,73,73,91
208,Student_208,China,London,Male,Group_A,71,89,86,92
209,Student_209,UK,Mumbai,Female,Group_A,66,80,73,94
210,Student_210,UK,Berlin,Male,Group_C,67,96,87,58
211,Student_211,China,Mumbai,Male,Group_B,98,80,83,80
212,Student_212,UK,London,Female,Group_A,90,96,89,56
213,Student_213,China,Mumbai,Female,Group_C,59,89,96,58
214,Student_214,India,Mumbai,Male,Group_A,59,97,64,62
215,Student_215,China,London,Female,Group_A,56,92,60,52
216,Student_216,China,Mumbai,Female,Group_B,97,83,71,84
217,Student_217,UK,Beijing,Female,Group_A,99,73,73,82
218,Student_218,UK,Beijing,Female,Group_C,87,98,50,70
219,Student_219,USA,Mumbai,Male,Group_C,76,75,67,80
220,Student_220,USA,Berlin,Male,Group_B,82,65,93,83
221,Student_221,India,London,Male,Group_A,50,96,61,81
222,Student_222,USA,Beijing,Female,Group_C,93,62,92,84
223,Student_223,China,Berlin,Female,Group_A,83,64,77,64
224,Student_224,UK,Mumbai,Female,Group_A,53,76,89,81
225,Student_225,USA,Berlin,Female,Group_A,66,53,56,55
226,Student_226,USA,New York,Female,Group_B,53,65,72,94
227,Student_227,India,Beijing,Female,Group_A,92,79,70,70
228,Student_228,India,Mumbai,Female,Group_C,75,93,83,82
229,Student_229,China,London,Male,Group_A,53,79,60,81
230,Student_230,UK,Mumbai,Male,Group_C,50,85,71,68
231,Student_231,India,London,Female,Group_A,56,52,91,82
232,Student_232,USA,Mumbai,Female,Group_C,79,71,84,77
233,Student_233,UK,Berlin,Female,Group_C,99,98,78,80
234,Student_234,UK,Berlin,Male,Group_A,58,71,91,70
235,Student_235,USA,Berlin,Male,Group_A,84,99,77,83
236,Student_236,India,New York,Female,Group_C,57,99,67,64
237,Student_237,USA,London,Female,Group_B,73,98,63,63
238,Student_238,UK,Berlin,Male,Group_A,68,61,67,68
239,Student_239,Germany,New York,Male,Group_B,85,70,77,92
240,Student_240,Germany,London,Male,Group_A,99,53,73,64
241,Student_241,China,Mumbai,Male,Group_A,92,80,57,55
242,Student_242,USA,New York,Female,Group_A,76,93,91,58
243,Student_243,USA,Beijing,Male,Group_A,81,80,94,86
244,Student_244,China,New York,Male,Group_B,63,72,57,69
245,Student_245,China,New York,Female,Group_A,67,69,53,83
246,Student_246,China,London,Male,Group_C,77,64,76,87
247,Student_247,UK,Mumbai,Male,Group_C,78,72,85,75
248,Student_248,USA,Beijing,Male,Group_B,65,77,54,67
249,Student_249,UK,Berlin,Female,Group_A,84,65,82,77
250,Student_250,China,Berlin,Male,Group_C,96,86,98,58
251,Student_251,USA,New York,Female,Group_B,80,70,83,81
252,Student_252,UK,London,Female,Group_A,53,64,79,55
253,Student_253,UK,London,Male,Group_C,86,66,57,63
254,Student_254,China,Berlin,Male,Group_C,66,99,88,77
255,Student_255,USA,Beijing,Male,Group_B,88,86,96,73
256,Student_256,China,Mumbai,Male,Group_A,97,62,75,62
257,Student_257,USA,Beijing,Female,Group_A,95,68,86,92
258,Student_258,Germany,Mumbai,Male,Group_C,75,79,83,61
259,Student_259,India,Berlin,Male,Group_C,97,94,56,68
260,Student_260,India,Mumbai,Male,Group_C,88,67,89,70
261,Student_261,India,London,Female,Group_A,90,63,77,76
262,Student_262,China,New York,Male,Group_B,53,85,88,68
263,Student_263,Germany,New York,Male,Group_B,79,85,88,73
264,Student_264,USA,Berlin,Female,Group_A,79,69,77,75
265,Student_265,UK,London,Female,Group_B,71,68,63,94
266,Student_266,USA,Beijing,Male,Group_C,60,94,99,77
267,Student_267,UK,London,Male,Group_B,51,93,87,95
268,Student_268,USA,New York,Male,Group_B,93,56,53,67
269,Student_269,Germany,New York,Male,Group_B,61,93,91,93
270,Student_270,UK,London,Male,Group_C,79,53,67,85
271,Student_271,China,London,Female,Group_A,85,83,93,91
272,Student_272,USA,New York,Female,Group_C,67,51,97,78
273,Student_273,USA,Beijing,Male,Group_A,75,54,74,66
274,Student_274,UK,Berlin,Male,Group_A,56,59,56,53
275,Student_275,China,Berlin,Female,Group_A,50,81,87,93
276,Student_276,China,London,Male,Group_B,75,91,77,94
277,Student_277,Germany,Berlin,Male,Group_B,72,90,54,78
278,Student_278,China,New York,Male,Group_A,75,62,52,53
279,Student_279,China,New York,Male,Group_A,94,88,93,59
280,Student_280,China,London,Male,Group_B,55,54,80,74
281,Student_281,India,London,Female,Group_C,55,59,96,80
282,Student_282,Germany,London,Male,Group_A,93,59,91,52
283,Student_283,USA,Beijing,Male,Group_C,57,87,69,96
284,Student_284,UK,Berlin,Male,Group_B,73,76,68,51
285,Student_285,USA,London,Female,Group_A,71,70,97,74
286,Student_286,Germany,Mumbai,Female,Group_C,68,57,60,98
287,Student_287,UK,Mumbai,Female,Group_C,86,50,89,55
288,Student_288,Germany,New York,Female,Group_C,67,77,52,75
289,Student_289,China,Berlin,Male,Group_B,80,98,72,57
290,Student_290,UK,London,Female,Group_B,86,88,56,84
291,Student_291,China,Mumbai,Male,Group_C,79,63,72,76
292,Student_292,USA,Berlin,Male,Group_C,91,70,56,74
293,Student_293,USA,New York,Female,Group_B,82,79,95,67
294,Student_294,UK,Beijing,Female,Group_C,59,70,83,50
295,Student_295,UK,Berlin,Female,Group_C,86,98,91,97
296,Student_296,Germany,Berlin,Female,Group_B,61,58,68,88
297,Student_297,Germany,Beijing,Female,Group_C,79,66,58,52
298,Student_298,China,Berlin,Male,Group_C,76,54,97,53
299,Student_299,UK,New York,Female,Group_C,88,80,67,90
300,Student_300,USA,New York,Female,Group_B,58,89,90,86
301,Student_301,Germany,Beijing,Female,Group_C,70,87,97,64
302,Student_302,Germany,London,Male,Group_B,61,92,94,57
303,Student_303,USA,Mumbai,Female,Group_B,78,68,91,87
304,Student_304,Germany,London,Male,Group_A,82,85,74,99
305,Student_305,China,Berlin,Female,Group_A,92,99,63,68
306,Student_306,UK,Mumbai,Female,Group_C,64,82,93,96
307,Student_307,USA,Beijing,Male,Group_B,51,62,74,75
308,Student_308,UK,Beijing,Female,Group_A,88,63,68,88
309,Student_309,Germany,Mumbai,Male,Group_C,93,82,88,59
310,Student_310,Germany,New York,Male,Group_A,67,78,64,87
311,Student_311,USA,Mumbai,Male,Group_A,52,92,65,63
312,Student_312,China,Berlin,Female,Group_B,56,98,76,98
313,Student_313,India,New York,Female,Group_B,92,85,89,90
314,Student_314,USA,Beijing,Female,Group_A,67,93,59,68
315,Student_315,India,Mumbai,Male,Group_A,93,59,53,79
316,Student_316,India,London,Female,Group_B,87,80,68,54
317,Student_317,China,London,Male,Group_C,86,55,77,80
318,Student_318,India,Berlin,Female,Group_B,82,50,70,56
319,Student_319,India,London,Male,Group_A,93,56,96,68
320,Student_320,China,Mumbai,Male,Group_C,80,76,63,80
321,Student_321,India,Mumbai,Male,Group_A,60,70,82,88
322,Student_322,India,London,Female,Group_C,53,77,97,73
323,Student_323,India,Mumbai,Male,Group_A,67,65,59,83
324,Student_324,USA,Berlin,Male,Group_C,53,95,68,72
325,Student_325,USA,New York,Male,Group_C,98,72,79,97
326,Student_326,USA,Berlin,Male,Group_A,83,69,71,94
327,Student_327,China,Berlin,Male,Group_C,78,87,52,89
328,Student_328,Germany,Mumbai,Male,Group_B,73,74,86,55
329,Student_329,India,New York,Female,Group_A,71,77,90,87
330,Student_330,India,Mumbai,Female,Group_B,51,54,67,90
331,Student_331,China,Beijing,Male,Group_A,93,70,60,85
332,Student_332,India,Mumbai,Female,Group_C,55,67,97,76
333,Student_333,USA,Mumbai,Female,Group_C,91,96,51,60
334,Student_334,Germany,Mumbai,Male,Group_C,74,55,61,54
335,Student_335,UK,New York,Male,Group_A,70,78,55,66
336,Student_336,India,Mumbai,Male,Group_B,65,68,92,56
337,Student_337,USA,New York,Female,Group_B,80,82,89,76
338,Student_338,UK,London,Male,Group_A,63,50,93,96
339,Student_339,Germany,Beijing,Female,Group_A,88,94,78,64
340,Student_340,UK,New York,Male,Group_B,77,52,79,95
341,Student_341,USA,London,Female,Group_B,81,91,51,62
342,Student_342,UK,New York,Male,Group_B,77,70,58,60
343,Student_343,China,New York,Male,Group_B,98,84,96,94
344,Student_344,UK,Beijing,Female,Group_A,58,90,51,75
345,Student_345,India,Berlin,Female,Group_A,94,89,78,71
346,Student_346,India,Berlin,Female,Group_C,71,52,82,77
347,Student_347,China,New York,Female,Group_B,81,74,59,73
348,Student_348,USA,Mumbai,Female,Group_C,54,94,83,78
349,Student_349,India,London,Female,Group_A,72,87,93,58
350,Student_350,Germany,Mumbai,Male,Group_A,54,94,57,91
351,Student_351,India,Mumbai,Female,Group_C,91,69,86,53
352,Student_352,India,New York,Male,Group_B,81,93,82,98
353,Student_353,USA,New York,Male,Group_B,59,94,96,95
354,Student_354,UK,New York,Female,Group_B,88,83,55,67
355,Student_355,India,New York,Male,Group_B,64,70,93,92
356,Student_356,China,Berlin,Female,Group_C,56,97,89,65
357,Student_357,UK,New York,Female,Group_C,78,72,94,82
358,Student_358,Germany,Berlin,Male,Group_A,96,55,68,78
359,Student_359,USA,Berlin,Male,Group_B,52,62,81,88
360,Student_360,Germany,New York,Female,Group_B,68,98,76,59
361,Student_361,UK,Beijing,Female,Group_B,59,72,50,58
362,Student_362,UK,London,Male,Group_C,77,58,92,80
363,Student_363,UK,Mumbai,Male,Group_B,78,66,82,77
364,Student_364,Germany,Berlin,Male,Group_C,64,51,89,52
365,Student_365,UK,London,Male,Group_B,84,68,81,63
366,Student_366,Germany,Beijing,Female,Group_B,55,68,54,74
367,Student_367,UK,Mumbai,Female,Group_A,61,56,66,64
368,Student_368,China,Mumbai,Female,Group_B,96,91,57,51
369,Student_369,UK,Berlin,Female,Group_B,87,91,91,73
370,Student_370,Germany,New York,Male,Group_A,62,69,83,63
371,Student_371,India,Beijing,Male,Group_C,78,58,58,97
372,Student_372,UK,Berlin,Female,Group_C,68,66,72,56
373,Student_373,India,Beijing,Female,Group_B,52,76,84,85
374,Student_374,China,New York,Female,Group_C,57,96,99,99
375,Student_375,USA,New York,Female,Group_B,57,51,56,73
376,Student_376,China,Berlin,Female,Group_A,69,85,64,76
377,Student_377,UK,New York,Female,Group_A,96,68,69,86
378,Student_378,India,London,Female,Group_B,53,66,99,87
379,Student_379,India,Mumbai,Female,Group_A,70,54,74,79
380,Student_380,Germany,Berlin,Female,Group_A,52,88,52,76
381,Student_381,India,Beijing,Male,Group_B,94,67,95,88
382,Student_382,Germany,London,Female,Group_B,57,56,73,64
383,Student_383,USA,Berlin,Male,Group_A,72,66,83,75
384,Student_384,UK,New York,Male,Group_C,65,88,95,50
385,Student_385,Germany,New York,Female,Group_C,62,85,71,53
386,Student_386,USA,New York,Female,Group_B,52,89,60,78
387,Student_387,India,New York,Male,Group_B,97,94,97,50
388,Student_388,India,Beijing,Male,Group_C,58,53,57,92
389,Student_389,USA,London,Female,Group_A,63,87,88,99
390,Student_390,India,Mumbai,Male,Group_C,62,74,92,95
391,Student_391,USA,Beijing,Female,Group_C,56,54,84,71
392,Student_392,Germany,Beijing,Female,Group_C,64,79,98,60
393,Student_393,Germany,Mumbai,Female,Group_C,56,61,95,59
394,Student_394,USA,Mumbai,Male,Group_B,87,53,87,66
395,Student_395,Germany,New York,Male,Group_B,83,73,57,85
396,Student_396,Germany,Beijing,Female,Group_A,90,78,86,96
397,Student_397,Germany,Berlin,Male,Group_A,71,58,76,75
398,Student_398,China,Mumbai,Male,Group_A,73,53,77,97
399,Student_399,UK,Mumbai,Male,Group_A,98,73,89,70
400,Student_400,India,London,Male,Group_C,86,63,83,62
401,Student_401,China,Berlin,Male,Group_B,93,54,81,58
402,Student_402,Germany,Berlin,Male,Group_B,50,67,64,60
403,Student_403,USA,Mumbai,Male,Group_A,59,91,93,60
404,Student_404,Germany,New York,Female,Group_A,92,68,66,55
405,Student_405,UK,London,Male,Group_C,65,61,82,50
406,Student_406,Germany,Berlin,Male,Group_C,95,67,96,55
407,Student_407,USA,Mumbai,Male,Group_A,57,66,95,62
408,Student_408,UK,Berlin,Male,Group_B,98,79,65,71
409,Student_409,Germany,London,Male,Group_B,74,73,78,80
410,Student_410,UK,London,Male,Group_B,99,60,58,71
411,Student_411,India,Beijing,Male,Group_A,61,84,82,86
412,Student_412,India,Mumbai,Male,Group_B,74,72,98,96
413,Student_413,Germany,London,Female,Group_C,66,66,78,76
414,Student_414,UK,Beijing,Male,Group_C,75,50,62,99
415,Student_415,USA,Beijing,Male,Group_A,95,64,70,63
416,Student_416,Germany,Berlin,Male,Group_C,97,81,70,96
417,Student_417,India,Berlin,Male,Group_A,63,58,54,54
418,Student_418,India,Beijing,Female,Group_B,90,64,59,85
419,Student_419,Germany,Berlin,Female,Group_B,85,77,55,81
420,Student_420,UK,London,Female,Group_B,72,73,62,83
421,Student_421,India,New York,Female,Group_C,92,84,50,56
422,Student_422,UK,London,Female,Group_A,55,71,69,91
423,Student_423,India,Beijing,Female,Group_B,96,76,96,97
424,Student_424,India,Beijing,Female,Group_A,54,68,95,59
425,Student_425,China,London,Female,Group_B,92,94,57,99
426,Student_426,India,Berlin,Female,Group_C,74,61,59,66
427,Student_427,USA,Berlin,Female,Group_C,67,69,58,79
428,Student_428,Germany,Beijing,Female,Group_A,62,50,98,70
429,Student_429,Germany,Mumbai,Female,Group_C,92,70,90,62
430,Student_430,UK,Berlin,Female,Group_C,63,98,52,50
431,Student_431,India,London,Female,Group_A,77,94,60,50
432,Student_432,USA,Berlin,Female,Group_B,67,50,61,96
433,Student_433,UK,London,Female,Group_C,77,59,59,82
434,Student_434,China,Beijing,Male,Group_A,76,96,74,87
435,Student_435,UK,Berlin,Female,Group_C,81,81,98,74
436,Student_436,UK,London,Male,Group_C,96,88,98,75
437,Student_437,India,Beijing,Female,Group_C,58,71,74,62
438,Student_438,China,Mumbai,Female,Group_C,89,67,60,77
439,Student_439,UK,London,Male,Group_A,81,97,85,82
440,Student_440,USA,Mumbai,Female,Group_A,69,95,88,86
441,Student_441,USA,Mumbai,Male,Group_A,77,81,75,90
442,Student_442,Germany,New York,Male,Group_C,82,76,63,79
443,Student_443,China,Berlin,Male,Group_C,53,77,88,98
444,Student_444,China,London,Female,Group_C,95,67,89,97
445,Student_445,Germany,Mumbai,Female,Group_A,83,88,50,57
446,Student_446,UK,New York,Female,Group_C,97,98,53,98
447,Student_447,China,Beijing,Male,Group_B,52,78,79,96
448,Student_448,USA,London,Male,Group_C,75,67,61,50
449,Student_449,USA,Mumbai,Female,Group_B,57,93,84,61
450,Student_450,India,Berlin,Female,Group_C,55,57,62,54
451,Student_451,China,New York,Female,Group_A,65,80,80,73
452,Student_452,UK,Mumbai,Female,Group_C,73,83,87,55
453,Student_453,Germany,Berlin,Female,Group_B,97,56,92,74
454,Student_454,Germany,Mumbai,Male,Group_B,88,85,72,50
455,Student_455,UK,London,Male,Group_C,79,67,53,74
456,Student_456,India,London,Male,Group_B,94,87,65,50
457,Student_457,Germany,London,Female,Group_B,62,58,56,81
458,Student_458,China,New York,Male,Group_A,54,58,71,91
459,Student_459,India,London,Male,Group_C,74,95,78,91
460,Student_460,China,Berlin,Male,Group_C,69,57,60,52
461,Student_461,USA,Mumbai,Male,Group_C,67,84,82,98
462,Student_462,India,Beijing,Male,Group_B,96,67,78,68
463,Student_463,Germany,Berlin,Female,Group_C,67,54,88,92
464,Student_464,India,Berlin,Male,Group_C,51,63,61,78
